"name","id.viaf","id.wiki","id.oape"
"قسطنطين قسطنيطين","NA","NA","2880"
"ابن المنذر","NA","NA","4106"
"ابن عون","NA","NA","4107"
"(سائح) في بعلبك","NA","NA","2881"
"أبو الضيا","NA","NA","1"
"أحد الآباء","NA","NA","991"
"أحد الآباء اليسوعيين","NA","NA","992"
"أحد الأدباء من محرري الجرائد","NA","NA","993"
"أحد الأطباء","NA","NA","994"
"أحد القراء","NA","NA","2"
"أحد قراء المقتبس","NA","NA","995"
"أحد قراء المقتطف","NA","NA","996"
"أحد قراء المنار","NA","NA","997"
"ا. ج","NA","NA","3"
"ابن حزم","44300351","Q317787","4"
"ابن علي بن ذياب","NA","NA","3671"
"ابي القاسم صاعد الاندلسي","NA","NA","3842"
"الأستاذ الشيخ السيد محمد الخضر بن الحسين","NA","NA","3238"
"محمد رشيد","NA","NA","3239"
"الجهبذ الفاضل احمد الهاشمي","NA","NA","3236"
"اميدروس","NA","NA","3235"
"دي غوي","NA","NA","3244"
"زترستين","NA","NA","3247"
"الأمير ابن فاتك","NA","NA","3252"
"الاعرابي","305409071","Q11926357","45"
"الانباري","NA","NA","40"
"الخليلي","NA","NA","4117"
"السائح","NA","NA","2899"
"الساعي","NA","NA","47"
"السامي","NA","NA","3031"
"عبد الرزاق النطاسي","NA","NA","4119"
"السيد ابي الخير عابدين","NA","NA","3317"
"ابي بكر بن عبد الرحمن بن شهاب الدين العلوي الحسني الحضرمي","NA","NA","3319"
"احمد الحسيني","NA","NA","3318"
"الحسيني","NA","NA","1326"
"الرضي","NA","NA","3320"
"السيد المرتضى","NA","NA","3322"
"المرتضى ابي القاسم علي بن الطاهر ابي احمد الحسين","NA","NA","71"
"السيد جرمانوس","NA","NA","4118"
"حسن عثمان الحكيم","NA","NA","3323"
"السيد حسن الصدر","NA","NA","4203"
"السيد حسن عبد الوهاب","NA","NA","3324"
"رفعت","NA","NA","1327"
"السيد صادق التلاتلي","NA","NA","3325"
"صدر الدين","NA","NA","1328"
"السيد عبد الرحمن الكواكبي","NA","NA","3326"
"السيد عبد الرزاق الحسني","NA","NA","2876"
"السيد عبد الرزاق الغطاس","NA","NA","3327"
"السيد عبد القادر العبادي","NA","NA","3328"
"عبد القادر المبارك","NA","NA","3329"
"السيد عبد القادر المبارك الجزائري","NA","NA","3330"
"السيد عبد الكريم أفندي الحمزاوي","NA","NA","3331"
"عزمي","NA","NA","1329"
"كمال الدين","NA","NA","3332"
"السيد محمد الخضر","NA","NA","3333"
"محمد الخضر بن الحسين التونسي","NA","NA","72"
"السيد محمد المبارك الجزائري","NA","NA","3334"
"السيد محمد بدر الدين النعساني","NA","NA","3335"
